Vivado Simulator 2020.1
Time resolution is 1 ps
Time | PC | Instr | imm | rs1 | rs2 | ALU_B | ALURes | LEDs
0 | 0 | 00700113 | 7 | 0 | 0 | 7 | 7 | 7
15000 | 4 | 00500193 | 5 | 0 | 0 | 5 | 5 | 5
25000 | 8 | 00310233 | 0 | 7 | 5 | 5 | 12 | 12
35000 | 12 | 40310233 | 0 | 7 | 5 | 5 | 2 | 2
45000 | 16 | 00317233 | 0 | 7 | 5 | 5 | 5 | 5
55000 | 20 | 00316233 | 0 | 7 | 5 | 5 | 7 | 7
65000 | 24 | 00314233 | 0 | 7 | 5 | 5 | 2 | 2
75000 | 28 | xxxxxxxx | 0 | x | x | x | x | x
85000 | 32 | xxxxxxxx | 0 | x | x | x | x | x
95000 | 36 | xxxxxxxx | 0 | x | x | x | x | x
$finish called at time : 100 ns : File "C:/Users/ha10609/Downloads/CA-Labs-T1/LAB11/lab11.srcs/sim_1/new/toptb.v" Line 78
