Vivado Simulator 2020.1
Time resolution is 1 ps
0	| fffff0b7	| 00000000	| 0		| 0		| 1111000000000000	| 0
=== TASK 3 - SHIFT LEFT PROGRAM ===
PC	| inst		| x1(limit)	| x2(value)	| x5(ret)	| LEDs			| mem[8]
------------------------------------------------------------------------
4	| 00100113	| fffff000	| 0		| 0		| 0000000000000001	| 0
8	| 00111113	| fffff000	| 1		| 0		| 0000000000000010	| 0
12	| 010002ef	| fffff000	| 2		| 0		| 0000000000000000	| 0
28	| 00202423	| fffff000	| 2		| 16		| 0000000000001000	| 0
32	| fe9ff2ef	| fffff000	| 2		| 16		| 0000000000000000	| 2
8	| 00111113	| fffff000	| 2		| 36		| 0000000000000100	| 2
12	| 010002ef	| fffff000	| 4		| 36		| 0000000000000000	| 2
28	| 00202423	| fffff000	| 4		| 16		| 0000000000001000	| 2
32	| fe9ff2ef	| fffff000	| 4		| 16		| 0000000000000000	| 4
8	| 00111113	| fffff000	| 4		| 36		| 0000000000001000	| 4
12	| 010002ef	| fffff000	| 8		| 36		| 0000000000000000	| 4
28	| 00202423	| fffff000	| 8		| 16		| 0000000000001000	| 4
32	| fe9ff2ef	| fffff000	| 8		| 16		| 0000000000000000	| 8
8	| 00111113	| fffff000	| 8		| 36		| 0000000000010000	| 8
12	| 010002ef	| fffff000	| 16		| 36		| 0000000000000000	| 8
28	| 00202423	| fffff000	| 16		| 16		| 0000000000001000	| 8
32	| fe9ff2ef	| fffff000	| 16		| 16		| 0000000000000000	| 16
8	| 00111113	| fffff000	| 16		| 36		| 0000000000100000	| 16
12	| 010002ef	| fffff000	| 32		| 36		| 0000000000000000	| 16
28	| 00202423	| fffff000	| 32		| 16		| 0000000000001000	| 16
32	| fe9ff2ef	| fffff000	| 32		| 16		| 0000000000000000	| 32
8	| 00111113	| fffff000	| 32		| 36		| 0000000001000000	| 32
12	| 010002ef	| fffff000	| 64		| 36		| 0000000000000000	| 32
28	| 00202423	| fffff000	| 64		| 16		| 0000000000001000	| 32
32	| fe9ff2ef	| fffff000	| 64		| 16		| 0000000000000000	| 64
8	| 00111113	| fffff000	| 64		| 36		| 0000000010000000	| 64
12	| 010002ef	| fffff000	| 128		| 36		| 0000000000000000	| 64
28	| 00202423	| fffff000	| 128		| 16		| 0000000000001000	| 64
32	| fe9ff2ef	| fffff000	| 128		| 16		| 0000000000000000	| 128
8	| 00111113	| fffff000	| 128		| 36		| 0000000100000000	| 128
12	| 010002ef	| fffff000	| 256		| 36		| 0000000000000000	| 128
28	| 00202423	| fffff000	| 256		| 16		| 0000000000001000	| 128
32	| fe9ff2ef	| fffff000	| 256		| 16		| 0000000000000000	| 0
8	| 00111113	| fffff000	| 256		| 36		| 0000001000000000	| 0
12	| 010002ef	| fffff000	| 512		| 36		| 0000000000000000	| 0
28	| 00202423	| fffff000	| 512		| 16		| 0000000000001000	| 0
32	| fe9ff2ef	| fffff000	| 512		| 16		| 0000000000000000	| 0
8	| 00111113	| fffff000	| 512		| 36		| 0000010000000000	| 0
12	| 010002ef	| fffff000	| 1024		| 36		| 0000000000000000	| 0
28	| 00202423	| fffff000	| 1024		| 16		| 0000000000001000	| 0
32	| fe9ff2ef	| fffff000	| 1024		| 16		| 0000000000000000	| 0
8	| 00111113	| fffff000	| 1024		| 36		| 0000100000000000	| 0
12	| 010002ef	| fffff000	| 2048		| 36		| 0000000000000000	| 0
28	| 00202423	| fffff000	| 2048		| 16		| 0000000000001000	| 0
32	| fe9ff2ef	| fffff000	| 2048		| 16		| 0000000000000000	| 0
8	| 00111113	| fffff000	| 2048		| 36		| 0001000000000000	| 0
12	| 010002ef	| fffff000	| 4096		| 36		| 0000000000000000	| 0
28	| 00202423	| fffff000	| 4096		| 16		| 0000000000001000	| 0
32	| fe9ff2ef	| fffff000	| 4096		| 16		| 0000000000000000	| 0
8	| 00111113	| fffff000	| 4096		| 36		| 0010000000000000	| 0
12	| 010002ef	| fffff000	| 8192		| 36		| 0000000000000000	| 0
28	| 00202423	| fffff000	| 8192		| 16		| 0000000000001000	| 0
32	| fe9ff2ef	| fffff000	| 8192		| 16		| 0000000000000000	| 0
8	| 00111113	| fffff000	| 8192		| 36		| 0100000000000000	| 0
12	| 010002ef	| fffff000	| 16384		| 36		| 0000000000000000	| 0
28	| 00202423	| fffff000	| 16384		| 16		| 0000000000001000	| 0
32	| fe9ff2ef	| fffff000	| 16384		| 16		| 0000000000000000	| 0
8	| 00111113	| fffff000	| 16384		| 36		| 1000000000000000	| 0
12	| 010002ef	| fffff000	| 32768		| 36		| 0000000000000000	| 0
28	| 00202423	| fffff000	| 32768		| 16		| 0000000000001000	| 0
32	| fe9ff2ef	| fffff000	| 32768		| 16		| 0000000000000000	| 0
8	| 00111113	| fffff000	| 32768		| 36		| 0000000000000000	| 0
12	| 010002ef	| fffff000	| 65536		| 36		| 0000000000000000	| 0
28	| 00202423	| fffff000	| 65536		| 16		| 0000000000001000	| 0
32	| fe9ff2ef	| fffff000	| 65536		| 16		| 0000000000000000	| 0
8	| 00111113	| fffff000	| 65536		| 36		| 0000000000000000	| 0
